code,brand,category,shirt_fit,date,metric,metric_type,original_url,local_video,download_status,download_url
V01,Vaucluse,Shoot BTS,Strong match,20260817,9846,views,https://www.instagram.com/vauclusestudios/reel/DcHyYnNKS6-/,media/DcHyYnNKS6-.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DcHyYnNKS6-.mp4
V02,Vaucluse,Lifestyle / travel,Adapt concept,20260813,16700,views,https://www.instagram.com/vauclusestudios/reel/Db-W0hAKWBc/,media/Db-W0hAKWBc.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Db-W0hAKWBc.mp4
V03,Vaucluse,Product demo,Strong match,20260521,16700,views,https://www.instagram.com/vauclusestudios/reel/DYlIyS6Pl8O/,media/DYlIyS6Pl8O.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DYlIyS6Pl8O.mp4
V04,Vaucluse,Product demo,Strong match,20260514,11100,views,https://www.instagram.com/vauclusestudios/reel/DYTc9DFTo2d/,media/DYTc9DFTo2d.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DYTc9DFTo2d.mp4
V05,Vaucluse,On-body styling,Strong match,20260502,16100,views,https://www.instagram.com/vauclusestudios/reel/DX1KOPHzsPt/,media/DX1KOPHzsPt.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DX1KOPHzsPt.mp4
V06,Vaucluse,Founder / process,Strong match,20260430,15700,views,https://www.instagram.com/vauclusestudios/reel/DXv5uA0zfcY/,media/DXv5uA0zfcY.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXv5uA0zfcY.mp4
V07,Vaucluse,Founder / process,Adapt concept,20260416,12200,views,https://www.instagram.com/vauclusestudios/reel/DXLjT_BE5ZE/,media/DXLjT_BE5ZE.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DXLjT_BE5ZE.mp4
V08,Vaucluse,On-body styling,Adapt concept,20260330,20800,views,https://www.instagram.com/vauclusestudios/reel/DWf856AE23w/,media/DWf856AE23w.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DWf856AE23w.mp4
V09,Vaucluse,On-body styling,Adapt concept,20260328,18400,views,https://www.instagram.com/vauclusestudios/reel/DWcfaXGk30F/,media/DWcfaXGk30F.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DWcfaXGk30F.mp4
V10,Vaucluse,On-body styling,Adapt concept,20260327,40500,views,https://www.instagram.com/vauclusestudios/reel/DWXp-b7k43V/,media/DWXp-b7k43V.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DWXp-b7k43V.mp4
V11,Vaucluse,On-body styling,Adapt concept,20260325,13900,views,https://www.instagram.com/vauclusestudios/reel/DWTFpCSD4fN/,media/DWTFpCSD4fN.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DWTFpCSD4fN.mp4
V12,Vaucluse,Founder / process,Strong match,20260301,21500,views,https://www.instagram.com/vauclusestudios/reel/DVVe4yAEx3E/,media/DVVe4yAEx3E.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DVVe4yAEx3E.mp4
V13,Vaucluse,Founder / process,Adapt concept,20260223,20800,views,https://www.instagram.com/vauclusestudios/reel/DVF4hMWk3XB/,media/DVF4hMWk3XB.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DVF4hMWk3XB.mp4
V14,Vaucluse,Founder / process,Strong match,20260220,10200,views,https://www.instagram.com/vauclusestudios/reel/DU94L8Sk-XM/,media/DU94L8Sk-XM.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DU94L8Sk-XM.mp4
V15,Vaucluse,Product demo,Strong match,20260217,14100,views,https://www.instagram.com/vauclusestudios/reel/DU2cErzE6QJ/,media/DU2cErzE6QJ.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DU2cErzE6QJ.mp4
V16,Vaucluse,On-body styling,Outside vibe,20260211,7942,views,https://www.instagram.com/vauclusestudios/reel/DUovZgKE_G3/,media/DUovZgKE_G3.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUovZgKE_G3.mp4
V17,Vaucluse,On-body styling,Adapt concept,20260211,9661,views,https://www.instagram.com/vauclusestudios/reel/DUmj1rRk5aX/,media/DUmj1rRk5aX.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUmj1rRk5aX.mp4
V18,Vaucluse,On-body styling,Strong match,20260210,10600,views,https://www.instagram.com/vauclusestudios/reel/DUl1tOgE9a6/,media/DUl1tOgE9a6.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUl1tOgE9a6.mp4
V19,Vaucluse,On-body styling,Adapt concept,20260210,8649,views,https://www.instagram.com/vauclusestudios/reel/DUkaLoqk3Bw/,media/DUkaLoqk3Bw.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUkaLoqk3Bw.mp4
V20,Vaucluse,On-body styling,Adapt concept,20260206,9323,views,https://www.instagram.com/vauclusestudios/reel/DUZ3EMnkx_O/,media/DUZ3EMnkx_O.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUZ3EMnkx_O.mp4
V21,Vaucluse,On-body styling,Adapt concept,20260204,8806,views,https://www.instagram.com/vauclusestudios/reel/DUVbxnpk9iq/,media/DUVbxnpk9iq.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUVbxnpk9iq.mp4
V22,Vaucluse,On-body styling,Adapt concept,20260203,14900,views,https://www.instagram.com/vauclusestudios/reel/DUSUnJJE7sd/,media/DUSUnJJE7sd.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUSUnJJE7sd.mp4
V23,Vaucluse,Founder / process,Strong match,20260130,69800,views,https://www.instagram.com/vauclusestudios/reel/DUH2f10E95e/,media/DUH2f10E95e.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUH2f10E95e.mp4
V24,Vaucluse,Product demo,Strong match,20260128,16500,views,https://www.instagram.com/vauclusestudios/reel/DUC5AKIjrHm/,media/DUC5AKIjrHm.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DUC5AKIjrHm.mp4
V25,Vaucluse,Founder / process,Strong match,20251230,19500,views,https://www.instagram.com/vauclusestudios/reel/DS4CoYrk6fM/,media/DS4CoYrk6fM.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DS4CoYrk6fM.mp4
V26,Vaucluse,Lifestyle / travel,Adapt concept,20251209,14600,views,https://www.instagram.com/vauclusestudios/reel/DSCUZR5E8jO/,media/DSCUZR5E8jO.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DSCUZR5E8jO.mp4
V27,Vaucluse,Founder / process,Strong match,20251028,18800,views,https://www.instagram.com/vauclusestudios/reel/DQWGND2Ez0T/,media/DQWGND2Ez0T.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DQWGND2Ez0T.mp4
