month,estimated_sales_display_dollars,status,source
2026-01,39000,Third-party estimate; currency unconfirmed,https://www.particl.com/company/vaucluse-studios
2026-02,49000,Third-party estimate; currency unconfirmed,https://www.particl.com/company/vaucluse-studios
2026-03,130000,Third-party estimate; currency unconfirmed,https://www.particl.com/company/vaucluse-studios
2026-04,84000,Third-party estimate; currency unconfirmed,https://www.particl.com/company/vaucluse-studios
2026-05,79000,Third-party estimate; currency unconfirmed,https://www.particl.com/company/vaucluse-studios
2026-06,101000,Third-party estimate; currency unconfirmed,https://www.particl.com/company/vaucluse-studios
2026-07,,Not exposed in the public sales chart,https://www.particl.com/company/vaucluse-studios
2026-08,,Not exposed in the public sales chart,https://www.particl.com/company/vaucluse-studios
2026-09,,Incomplete as of 2026-09-12; unavailable,
2026-10,,Future as of 2026-09-12,
2026-11,,Future as of 2026-09-12,
2026-12,,Future as of 2026-09-12,
